A	B	C	D	E11	E22	G12	G23	Mass	Load
42.99948	12.36504	14.64945	23.4264	129.43124	8.540721	5.03232	3.25004	0.886613	52.72
35.8254	11.71956	11.73975	29.061	140.21208	7.995267	4.781232	3.035706	0.864407	42.727
31.22244	12.2592	11.9778	33.0819	124.58431	8.345916	4.299312	2.78969	0.862627	36.185
36.55548	12.94704	11.79255	35.0922	138.9583	9.066654	4.68024	2.968622	0.893455	47.164
42.30108	12.3756	14.5569	36.6	135.28175	8.89623	5.199696	3.011464	0.934752	55.123
29.31804	9.89964	16.5012	26.733	153.24889	7.634979	5.251632	3.423361	0.845016	44.028
43.85664	10.91544	16.15725	31.3095	147.90017	7.673859	4.388784	3.546369	0.924908	60.702
38.99988	12.90468	15.80025	34.0605	138.9583	9.120195	4.134816	2.823232	0.916648	50.955
33.4764	14.61888	14.60985	30.939	120.07237	8.331336	4.515744	3.330175	0.878841	42.849
28.96884	10.6086	15.99855	36.5205	131.35361	8.628363	4.746624	3.399119	0.881776	39.645
40.01544	10.73556	15.70755	34.2456	121.15796	9.29556	5.020752	3.359997	0.918296	46.214
36.46044	12.32268	14.8215	30.4893	159.7666	8.024508	4.7928	3.004024	0.886735	54.316
34.01604	11.51856	14.19975	29.3256	119.57058	7.138206	4.645632	2.689033	0.867892	38.902
39.88872	12.55548	11.8587	28.0557	129.01424	9.271179	4.870704	3.246289	0.879601	45.447
36.873	13.08456	17.7048	25.6221	126.84167	7.001883	4.994784	3.153103	0.88326	47.606
42.71364	12.53436	15.2976	31.0713	122.16154	7.849224	4.281984	2.731906	0.917887	50.984
38.36484	13.1586	12.7845	26.2569	129.84963	7.337871	4.2012	2.700224	0.871269	44.339
31.60368	14.23788	14.34525	29.1138	131.02001	8.053749	4.385904	2.64058	0.862107	42.783
36.30168	10.50276	16.54095	25.4634	119.40378	8.341056	4.599456	2.655491	0.870709	42.026
28.49256	11.28576	14.31885	29.3784	142.04966	7.449894	4.888032	2.657351	0.844832	40.041
28.65132	12.58728	17.427	30.3042	141.13087	7.391493	4.284912	2.821372	0.864375	42.56
35.98416	13.98396	12.1761	33.5316	132.85759	6.958062	4.602336	3.291022	0.888108	45.595
34.58736	12.18516	13.3533	28.77	158.26262	7.527816	5.444976	3.387959	0.865613	50.824
39.50748	10.54512	15.0066	27.6588	159.85	8.034228	4.902432	3.484865	0.886513	55.037
32.30172	9.87852	13.45905	28.4526	144.47382	8.4969	5.424768	3.522127	0.8516	41.63
