A	B	C	D	MeanMass	MeanLoad	ReliableLoad	SDLoad
30.6792	10.7657	17.56808	33.5992	0.884467408	46.12342369	40.32133559	1.934044202
30.6806	9.50089	14.83548	25.0952	0.836997094	40.1340782	34.69362878	1.813497047
30.6821	11.04549	13.60782	28.6686	0.848555579	41.10648691	35.7725223	1.778001838
30.6835	11.68986	11.99389	25.3154	0.829517761	39.74328588	34.50286803	1.746819349
30.685	12.86489	15.27564	35.0893	0.883398991	45.37430206	39.52008498	1.951420657
30.6864	14.24241	17.44292	31.1689	0.879764943	51.5322872	45.41911008	2.037741335
30.6879	10.06247	17.11354	27.7949	0.858671937	43.4710985	37.81132072	1.886607061
30.6893	12.27239	16.9243	31.6427	0.876464911	47.04364131	41.17585842	1.95594263
30.6908	11.95469	14.46838	24.5747	0.837499671	42.11709782	36.42409204	1.897683144
30.6922	11.30633	15.49483	27.8244	0.853084791	42.77896589	37.08116702	1.899280857
30.6937	10.25898	15.81102	28.265	0.854716307	42.15004585	36.56716454	1.860974711
30.6951	10.73427	15.47626	34.4286	0.878955491	43.21512373	37.51488935	1.9000927
30.6966	11.04798	16.6626	35.9938	0.890776885	45.22205738	39.46242075	1.919893603
30.698	14.17259	16.06853	33.0701	0.880710917	48.63809601	42.69970974	1.979477272
30.6994	13.23246	13.69405	24.4012	0.836351325	42.61645068	36.85735324	1.919713871
30.7009	11.37815	13.99887	24.9217	0.835848927	41.22024556	35.71971519	1.833524184
30.7023	11.66991	14.57737	32.8387	0.870313778	42.86733715	37.15759856	1.903260793
30.7038	9.73979	15.77629	30.6484	0.863747433	42.08166431	36.49501989	1.862229092
30.7052	11.20159	12.80415	26.1645	0.835565739	40.33234199	35.13505783	1.732441342
30.7067	10.44301	17.22314	31.7534	0.875529097	44.75569813	39.03905968	1.905560762
30.7081	13.76462	14.31028	26.4069	0.847618116	44.05138238	38.11893352	1.977498118
30.7096	10.67293	17.36147	26.621	0.856079854	44.47172382	38.69935577	1.92413744
30.711	11.69485	13.60123	29.2727	0.852212924	41.73304808	36.28423836	1.816283837
30.7125	14.00352	12.33943	34.0237	0.868941347	43.28963326	37.63493979	1.884912281
30.7139	13.00005	13.22814	35.5114	0.877346627	43.45647582	37.84573804	1.87026027
30.7154	10.93178	13.78269	27.7001	0.845322868	40.97468927	35.61698047	1.785916626
30.7168	10.09888	16.67218	33.566	0.880085164	43.88886406	38.23713046	1.883925649
30.7183	10.38416	17.32434	33.614	0.88322639	45.25798649	39.52700069	1.910343254
30.7197	11.86193	17.21176	25.8089	0.853935732	45.78867137	39.96123583	1.942493411
30.7212	10.26995	15.34272	34.6685	0.87882295	42.69373856	37.04193414	1.883949258
30.7226	12.49632	16.94167	23.9939	0.847075752	46.24921136	40.36923646	1.960006666
30.7241	14.3651	15.11814	25.3843	0.848092173	46.04528939	40.0000821	2.01508455
30.7255	10.98464	16.95305	26.6481	0.854750346	44.10562797	38.32232773	1.927781533
30.7269	11.68088	16.10027	25.1739	0.846137452	43.73269025	37.95974082	1.924331236
30.7284	13.87235	17.0303	27.8577	0.865579929	50.09766192	44.06184649	2.011953903
30.7298	10.34526	16.17453	32.3588	0.873460493	43.36453946	37.72557315	1.879669851
30.7313	12.69981	16.39371	33.7407	0.883012703	47.20416583	41.33359272	1.956872712
30.7327	11.82103	12.41369	28.0878	0.842556997	40.73171053	35.49383033	1.745973454
30.7342	13.84741	17.5579	27.7174	0.867094289	50.93913622	44.87461142	2.021523769
30.7356	10.00212	14.32286	31.3806	0.860902646	41.29468313	35.87557384	1.806383618
30.7371	10.41907	16.83627	26.5078	0.852825159	43.17296963	37.47334258	1.899890255
30.7385	12.97063	15.8745	29.2211	0.863097409	45.79401978	39.90472192	1.963114342
30.74	11.71829	14.57019	31.8408	0.866533344	42.80099175	37.09528371	1.901917268
30.7414	11.80557	13.18622	25.4705	0.835464711	41.02339347	35.61669861	1.802245439
30.7429	11.8729	13.02812	35.445	0.874379584	42.38467765	37.01012804	1.79153028
30.7443	10.3692	16.94107	32.7391	0.87837271	44.46291881	38.77939539	1.894522336
30.7458	12.85093	12.70234	33.534	0.867156178	42.57619501	37.06797945	1.836085934
30.7472	10.1318	11.94538	30.0676	0.845686803	39.55558584	34.47021749	1.695135781
30.7487	12.35917	14.45281	33.4503	0.873557025	43.54630319	37.76442764	1.927306633
30.7501	10.10885	14.95226	34.2415	0.875302916	42.15342999	36.56762142	1.86195047
30.7516	12.40555	15.34751	30.7063	0.866226749	44.38769973	38.49227193	1.965157671
30.753	10.55972	17.69144	31.8494	0.878006312	45.83201483	40.0094782	1.940860428
30.7544	13.0609	12.89398	29.6702	0.852728335	42.23503013	36.66113949	1.857977793
30.7559	13.20703	14.51629	26.8043	0.849021781	43.68301648	37.77958346	1.967826095
30.7573	12.75118	15.42416	31.1603	0.868824119	45.02345474	39.11607109	1.969142984
30.7588	10.21858	12.53107	29.4659	0.846011972	40.05603904	34.96589885	1.696726409
