A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
28.80985343	9.845934719	12.01369901	24.0021069	37.30757826	0.813546829	32.22400916	1.694536029
28.80000322	10.02321027	12.00674815	24.012103	37.38613121	0.813831214	32.29602207	1.696716056
28.80000661	10.02533522	12.03974432	24.01211102	37.39556909	0.81396236	32.31103448	1.694857868
28.80000386	10.11699937	12.03974432	24.00362694	37.43870059	0.814089553	32.35010533	1.696211427
28.80000386	10.11699937	12.03974432	24.00592007	37.43915054	0.814098423	32.35060115	1.696196138
28.80000661	10.15949157	12.02492318	24.00747219	37.45643218	0.814120887	32.36356266	1.697636192
28.80000661	10.32640145	12.03974432	24.01211102	37.54585702	0.81448354	32.44752591	1.699456736
28.94843536	10.18706284	12.02160436	24.00209843	37.55769074	0.814765832	32.44541285	1.704105699
28.98239069	10.18706284	12.02160436	24.0052034	37.57938846	0.814921979	32.46330274	1.705374987
29.06521817	10.23535175	12.02492318	24.00747219	37.6578584	0.815378206	32.53079706	1.709033555
28.81110299	10.40758281	12.26697282	24.00677284	37.67237413	0.815540323	32.59381316	1.692866639
28.8005646	11.14488985	12.04276985	24.00023371	38.0081657	0.815852928	32.85875511	1.71648336
28.8005646	11.21640175	12.02636055	24.00036539	38.04627769	0.815914367	32.88912722	1.719063338
28.80000759	11.21870918	12.03563471	24.00045817	38.05111642	0.815952253	32.8952672	1.718629589
28.80001287	11.21870918	12.03563471	24.00217972	38.05143505	0.815958848	32.89562218	1.718617473
28.84362877	11.17646691	12.0714431	24.00046946	38.06686603	0.816202947	32.91372672	1.717726274
28.84362877	11.17646691	12.0714431	24.00046946	38.06686603	0.816202947	32.91372672	1.717726274
28.83103212	11.28141813	12.05134847	24.01891445	38.12048673	0.816325025	32.95864587	1.720626815
28.80217558	11.4060678	12.03284971	24.01891445	38.17492439	0.816350177	33.00446305	1.723500331
28.8005646	11.48369286	12.03702644	24.00023371	38.22352167	0.816426158	33.04735922	1.725400717
28.8005646	11.70268248	12.03702644	24.00222398	38.3726215	0.816827625	33.17881163	1.731283233
28.8005646	11.70268248	12.03702644	24.00222398	38.3726215	0.816827625	33.17881163	1.731283233
28.8005646	11.70268248	12.03702644	24.00222398	38.3726215	0.816827625	33.17881163	1.731283233
28.80411481	11.70268248	12.03702644	24.00222398	38.37493378	0.816842705	33.18066282	1.731436933
28.8005646	11.71798404	12.03702644	24.00222398	38.38324254	0.81685544	33.18817685	1.731701845
28.8005646	11.74904545	12.03702644	24.00222398	38.40489188	0.816912022	33.20727068	1.732553688
28.80143317	11.88189832	12.03702644	24.00147629	38.49924807	0.817156721	33.29048981	1.736266069
28.80143317	11.89247121	12.03702644	24.02113931	38.51025019	0.817250744	33.30105011	1.736413343
28.80411481	11.9603132	12.03019199	24.00222398	38.55419662	0.81728981	33.33761592	1.738873568
28.80411481	11.9603132	12.03702644	24.00222398	38.5575594	0.817316273	33.3419298	1.738556534
28.80592778	11.99171965	12.02474122	24.02205975	38.57891522	0.817409972	33.35915168	1.739934523
28.80075551	11.99213385	12.06840934	24.00310945	38.59434474	0.817486441	33.38061137	1.737924451
28.80519351	12.05362153	12.03702644	24.02205975	38.62972905	0.817570143	33.4066115	1.741052535
28.80592778	12.05362153	12.03702644	24.02205975	38.63021835	0.817573261	33.407004	1.741084804
28.83103212	11.99213385	12.10631927	24.01891445	38.63687339	0.81782257	33.42389172	1.737673882
28.83759542	12.08248156	12.05436976	24.02269358	38.68169083	0.817831526	33.4542103	1.742506874
28.85990428	12.10445225	12.03284971	24.01891445	38.70135625	0.817869797	33.46619344	1.745067655
28.81062309	12.26039301	12.07903767	24.01922017	38.80937795	0.818136882	33.57349956	1.745306182
28.87880321	12.26039301	12.07748162	24.01865383	38.85513334	0.818417972	33.6100922	1.748360456
28.83103212	12.42047589	12.05876492	24.01040864	38.93321701	0.818418955	33.67885513	1.751467393
28.81680215	12.53261885	12.03306666	24.01892086	38.99723392	0.818508513	33.7327373	1.754845665
28.83103212	12.59113542	12.05876492	24.01626086	39.06688105	0.818772804	33.79902498	1.75596549
28.80096309	12.74482651	12.02471958	24.01626086	39.14681696	0.81881504	33.86704393	1.75993784
28.80096309	12.74482651	12.05876492	24.01626086	39.16687985	0.818947089	33.89133831	1.758527331
28.80096309	12.74482651	12.05876492	24.01626086	39.16687985	0.818947089	33.89133831	1.758527331
28.80151866	12.74482651	12.05876492	24.01626086	39.16726589	0.818949447	33.89164868	1.758552555
28.83103212	12.74482651	12.05876492	24.01626086	39.18786471	0.819074655	33.90824708	1.759886038
28.83103212	12.74482651	12.05876492	24.01626086	39.18786471	0.819074655	33.90824708	1.759886038
28.83103212	12.74482651	12.05876492	24.01626086	39.18786471	0.819074655	33.90824708	1.759886038
28.80096309	12.84475889	12.05876492	24.01626086	39.24598735	0.819144632	33.96315019	1.760959228
