"Status Code/Type"	"Row Name"	"Run #"	A	B	C	D	E11	E22	G12	G23	"Mapped Attributes and Options.Random Variable Attributes.DP_A"	"Mapped Attributes and Options.Random Variable Attributes.DP_B"	"Mapped Attributes and Options.Random Variable Attributes.DP_C"	"Mapped Attributes and Options.Random Variable Attributes.DP_D"	"Run #"	A	B	C	D	E11	E22	Eigval	G12	G23	Mass	"Run #"	"Uncertainty MCS Results.Percentiles.Eigval"	"Uncertainty MCS Results.Std Deviation.Eigval"	"Uncertainty MCS Results.Std Deviation.Mass"
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[22]"	22	30.905	11.8919	13.2673	26.378	139	8.1	4.8	3.1	30.905	11.8919	13.2673	26.378	0	30.670364736963396	12.004351544866164	13.296467989866393	26.388989630128652	135.64129515152493	7.395696911449388	39.03534565094151	4.6395945130582605	3.108351306852193	0.8392196886012179	500	36.47942813089015	1.6028060365723533	0.0008625875642007
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[23]"	23	38.443	12.5405	13.7718	29.333	139	8.1	4.8	3.1	38.443	12.5405	13.7718	29.333	0	38.15113514263335	12.659084801284415	13.802077126683049	29.34522074533944	135.64129515152493	7.395696911449388	47.51232400040408	4.6395945130582605	3.108351306852193	0.8856734079910936	500	44.25556915474459	2.0401411672098857	0.0010204915103364
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[24]"	24	32.764	10.1429	13.4895	27.375	139	8.1	4.8	3.1	32.764	10.1429	13.4895	27.375	0	32.515250938096386	10.238812745181427	13.519156493732915	27.386405001318217	135.64129515152493	7.395696911449388	39.72990157732852	4.6395945130582605	3.108351306852193	0.8490042555407352	500	37.22961141502012	1.6014401073613969	0.0009096649831452
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[25]"	25	40.634	11.152	12.2583	28.997	139	8.1	4.8	3.1	40.634	11.152	12.2583	28.997	0	40.32550075139203	11.257454942300848	12.285249716233086	29.00908076066573	135.64129515152493	7.395696911449388	45.446683540980985	4.6395945130582605	3.108351306852193	0.8848572782626681	500	42.37800869751369	1.9646425379955301	0.0010486538177286
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[26]"	26	41.658	10.5129	14.4144	34.943	139	8.1	4.8	3.1	41.658	10.5129	14.4144	34.943	0	41.34172639418933	10.612311519271396	14.446089874588662	34.9575579894452	135.64129515152493	7.395696911449388	49.94582763076323	4.6395945130582605	3.108351306852193	0.921315223813643	500	46.78866159640824	2.119192972881959	0.0011524329082302
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[27]"	27	35.993	11.7622	14.4805	35.724	139	8.1	4.8	3.1	35.993	11.7622	14.4805	35.724	0	35.71973589961247	11.873425082705438	14.512335194595758	35.73888337048737	135.64129515152493	7.395696911449388	46.39269616627985	4.6395945130582605	3.108351306852193	0.9025107257033494	500	43.4313888967955	1.91728503317078	0.0010725047454438
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[28]"	28	34.105	11.5892	13.6877	31.279	139	8.1	4.8	3.1	34.105	11.5892	13.6877	31.279	0	33.84606987070495	11.698789169414724	13.717792233905485	31.292031489908034	135.64129515152493	7.395696911449388	42.58600580155121	4.6395945130582605	3.108351306852193	0.8731780980503896	500	39.835106849495546	1.7650320672279902	0.0009788082347757
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[29]"	29	33.398	9.6432	12.6066	32.541	139	8.1	4.8	3.1	33.398	9.6432	12.6066	32.541	0	33.144437517718934	9.734387508930734	12.63431544934159	32.554557265676564	135.64129515152493	7.395696911449388	39.48720991729488	4.6395945130582605	3.108351306852193	0.8680394349824865	500	37.06821298054578	1.542995865085393	0.0009878074422464
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[30]"	30	39.596	9.8114	14.4444	35.303	139	8.1	4.8	3.1	39.596	9.8114	14.4444	35.303	0	39.2953813986346	9.904178032719742	14.476155829206103	35.31770797302418	135.64129515152493	7.395696911449388	47.170260072091196	4.6395945130582605	3.108351306852193	0.9134303524200243	500	44.14605955007649	1.9731570245029542	0.0011290276877694
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[31]"	31	29.391	9.9748	14.6246	31.748	139	8.1	4.8	3.1	29.391	9.9748	14.6246	31.748	0	29.429197231065167	10.043881499732562	14.639560407138456	31.824277367506607	145.39600696458706	8.219695436883553	40.93968101562467	4.568131313767339	3.099620578349038	0.8582043318991004	625	35.92251370249331	1.5099300965596891	0.0009381103218099
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[32]"	32	36.166	10.2775	12.8709	29.381	139	8.1	4.8	3.1	36.166	10.2775	12.8709	29.381	0	35.89142245840537	10.374685542458481	12.899196509521257	29.39324074314997	135.64129515152493	7.395696911449388	42.02562586258159	4.6395945130582605	3.108351306852193	0.8688755013254137	500	39.30082428724677	1.7323947329759977	0.0009856253192182
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[33]"	33	33.874	11.2961	16.2883	27.844	139	8.1	4.8	3.1	33.874	11.2961	16.2883	27.844	0	33.98513445961344	11.233737469402234	16.19063924195073	27.572058273407688	139.44263081412274	7.921922532905876	46.76356338001773	5.285763269692598	3.2890217750411646	0.8688409369198642	425	41.62427004846756	1.906993204323653	0.0009448080283196
