Config	A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
8	34.44723456	9.6	17.01122767	36	48.69427351	0.906499999	42.58981119	1.999641544
8	36.72045152	9.6	17.05599724	36	51.06299636	0.916499994	44.81212094	2.097250277
8	43.2	9.6	13.05887675	36	52.73674995	0.926499997	46.57050583	2.040829414
8	43.2	9.6	15.38044525	36	56.05431263	0.936500002	49.64025787	2.206036508
8	43.2	9.6	17.7038679	36	59.92085577	0.946500001	53.33372812	2.321418438
9	28.8	12.14834103	12	24	38.67358719	0.817500007	32.95050255	1.745389759
9	30.1329574	14.41996559	12	24	41.54842946	0.827499996	35.69746762	1.830641226
9	28.8	14.41996559	15.72898037	24	44.7157703	0.8375	38.72435354	1.924277839
9	28.86181463	14.41996559	18	24	48.2230544	0.847500006	42.06812745	2.033284634
9	31.23516266	14.41996559	18	24	51.19746731	0.857500004	44.87689311	2.143716131
9	33.61096432	14.41996559	18	24	54.41839217	0.867500036	47.96195284	2.234292882
9	35.95846432	14.41996559	18	24	57.37424636	0.877500419	50.76612407	2.335414864
9	38.28862201	14.41996559	18	24	60.06210408	0.887499998	53.28519218	2.447941268
9	40.65250578	14.41996559	18	24	62.95310526	0.897499994	56.03069232	2.544941962
9	43.2	14.41996559	17.96669085	24	67.16997457	0.907500032	60.23371802	2.554171034
9	43.2	14.41996559	18	26.60130913	67.73543871	0.917499998	60.7450639	2.59024987
9	43.2	14.41996559	18	29.19384254	68.14268299	0.92750001	61.09965125	2.625354494
9	43.2	14.41996559	18	31.77759133	68.55122679	0.9375	61.46157825	2.656432359
9	43.2	14.41996559	18	34.35503517	68.99915316	0.947499998	61.87042347	2.682486462
10	28.8	12.14853015	12	24	38.67372698	0.817500365	32.95063452	1.745394972
10	30.13295893	14.41996559	12	24	41.54843093	0.827500002	35.69746902	1.830641278
10	28.8	14.41996559	15.72897833	24	44.7157675	0.837499991	38.72435078	1.924277812
10	28.8618133	14.41996559	18	24	48.22305296	0.8475	42.06812612	2.033284556
10	31.23516314	14.41996559	18	24	51.19746796	0.857500006	44.87689373	2.14371615
10	33.61095583	14.41996559	18	24	54.41838093	0.8675	47.96194211	2.234292547
10	35.95852166	14.41996559	18	24	57.37431474	0.877500665	50.76618842	2.335417542
10	38.28862043	14.41996559	18	24	60.06210228	0.887499992	53.28519049	2.447941193
10	40.65250731	14.41996559	18	24	62.95310735	0.8975	56.03069434	2.544942008
10	43.2	14.41996559	17.96668376	24	67.16995701	0.907499999	60.23370234	2.55416978
10	43.2	14.41996559	18	26.60133049	67.73544223	0.91750008	60.745067	2.590250156
10	43.2	14.41996559	18	29.19384441	68.14268328	0.927500017	61.0996515	2.625354518
10	43.2	14.41996559	18	31.77759143	68.55122681	0.937500001	61.46157827	2.656432361
10	43.2	14.41996559	18	34.35503558	68.99915324	0.9475	61.87042354	2.682486466
11	28.8	12.14844344	12	24	38.67366289	0.817500201	32.95057402	1.745392582
11	30.13295881	14.41996559	12	24	41.54843081	0.827500002	35.6974689	1.830641273
11	28.8	14.41996559	15.72897904	24	44.71576848	0.837499994	38.72435174	1.924277822
11	28.86181463	14.41996559	18	24	48.2230544	0.847500006	42.06812745	2.033284634
11	31.23516199	14.41996559	18	24	51.1974664	0.857500001	44.87689224	2.143716105
11	33.61096234	14.41996559	18	24	54.41838955	0.867500028	47.96195034	2.234292804
11	35.95839562	14.41996559	18	24	57.37416445	0.877500125	50.76604697	2.335411656
11	38.28862167	14.41996559	18	24	60.06210369	0.887499997	53.28519181	2.447941252
11	40.65250727	14.41996559	18	24	62.95310729	0.8975	56.03069428	2.544942007
11	43.2	14.41996559	17.96668392	24	67.16995739	0.9075	60.23370268	2.554169807
11	43.2	14.41996559	18	26.60130972	67.7354388	0.9175	60.74506399	2.590249878
11	43.2	14.41996559	18	29.19384373	68.14268317	0.927500015	61.09965141	2.625354509
11	43.2	14.41996559	18	31.77759125	68.55122678	0.9375	61.46157824	2.656432359
11	43.2	14.41996559	18	34.35503546	68.99915322	0.947499999	61.87042352	2.682486465
12	28.8	12.14833999	12	24	38.67358642	0.817500005	32.95050183	1.74538973
12	28.8	14.41996559	13.36701885	24	41.71724058	0.827500123	35.88906722	1.815448907
12	28.8	14.41996559	15.72897846	24	44.71576768	0.837499992	38.72435096	1.924277814
12	28.8618133	14.41996559	18	24	48.22305296	0.8475	42.06812612	2.033284556
12	31.23516283	14.41996559	18	24	51.19746754	0.857500005	44.87689333	2.143716138
12	33.61096324	14.41996559	18	24	54.41839075	0.867500032	47.96195149	2.23429284
12	35.95836925	14.41996559	18	24	57.374133	0.877500012	50.76601737	2.335410424
12	38.28862229	14.41996559	18	24	60.0621044	0.8875	53.28519248	2.447941281
12	40.65250557	14.41996559	18	24	62.95310498	0.897499993	56.03069204	2.544941956
12	43.2	14.41996559	17.96668984	24	67.16997206	0.907500027	60.23371578	2.554170855
12	43.2	14.41996559	18	26.60130928	67.73543873	0.917499998	60.74506392	2.590249872
12	43.2	14.41996559	18	29.19384042	68.14268266	0.927500002	61.09965096	2.625354466
12	43.2	14.41996559	18	31.77759132	68.55122679	0.9375	61.46157825	2.656432359
12	43.2	14.41996559	18	34.35503486	68.99915311	0.947499997	61.87042342	2.682486459
13	28.8	12.14845703	12	24	38.67367293	0.817500226	32.9505835	1.745392956
13	28.8	14.41996559	13.36701124	24	41.71723198	0.827500091	35.88905936	1.815448408
13	28.8	14.41996559	15.72898056	24	44.71577056	0.837500001	38.7243538	1.924277841
13	28.86181154	14.41996559	18	24	48.22305105	0.847499993	42.06812437	2.033284453
13	31.23516194	14.41996559	18	24	51.19746633	0.857500001	44.87689218	2.143716103
13	33.61096201	14.41996559	18	24	54.41838911	0.867500026	47.96194993	2.234292791
13	35.95840468	14.41996559	18	24	57.37417525	0.877500163	50.76605713	2.335412079
13	38.28862172	14.41996559	18	24	60.06210374	0.887499997	53.28519186	2.447941254
13	40.6525972	14.41996559	18	24	62.95322992	0.897500373	56.03081286	2.544944703
13	43.2	14.41996559	17.96668313	24	67.16995545	0.907499996	60.23370094	2.554169669
13	43.2	14.41996559	18	26.60131194	67.73543917	0.917500009	60.74506431	2.590249907
13	43.2	14.41996559	18	29.19384321	68.14268309	0.927500013	61.09965134	2.625354502
13	43.2	14.41996559	18	31.77759126	68.55122678	0.9375	61.46157824	2.656432359
13	43.2	14.41996559	18	34.35503558	68.99915324	0.9475	61.87042354	2.682486466
14	28.8	12.14849981	12	24	38.67370455	0.817500307	32.95061335	1.745394135
14	28.8	14.41996559	13.36700371	24	41.71722346	0.827500059	35.88905159	1.815447914
14	28.8	14.41996559	15.72897901	24	44.71576844	0.837499994	38.72435171	1.924277821
14	28.8618133	14.41996559	18	24	48.22305296	0.8475	42.06812612	2.033284556
14	31.23516317	14.41996559	18	24	51.197468	0.857500006	44.87689377	2.143716151
14	33.61096868	14.41996559	18	24	54.41839795	0.867500055	47.96195837	2.234293055
14	35.95836656	14.41996559	18	24	57.37412979	0.8775	50.76601434	2.335410298
14	38.28862172	14.41996559	18	24	60.06210375	0.887499997	53.28519187	2.447941254
14	40.65250729	14.41996559	18	24	62.95310732	0.8975	56.03069431	2.544942008
14	43.2	14.41996559	17.96668384	24	67.1699572	0.907499999	60.23370251	2.554169794
14	43.2	14.41996559	18	26.60132338	67.73544106	0.917500052	60.74506597	2.590250061
14	43.2	14.41996559	18	29.1938437	68.14268317	0.927500015	61.0996514	2.625354509
14	43.2	14.41996559	18	31.77759137	68.5512268	0.9375	61.46157826	2.65643236
14	43.2	14.41996559	18	34.35503563	68.99915325	0.9475	61.87042355	2.682486467
15	28.8	12.1484891	12	24	38.67369664	0.817500287	32.95060588	1.74539384
15	28.8	14.41996559	13.36699053	24	41.71720856	0.827500003	35.88903798	1.815447051
15	28.8	14.41996559	15.72898048	24	44.71577046	0.8375	38.7243537	1.92427784
15	28.86181242	14.41996559	18	24	48.223052	0.847499996	42.06812524	2.033284504
15	31.23516255	14.41996559	18	24	51.19746716	0.857500004	44.87689297	2.143716127
15	33.61096361	14.41996559	18	24	54.41839123	0.867500033	47.96195194	2.234292854
15	35.95851314	14.41996559	18	24	57.37430458	0.877500628	50.76617886	2.335417144
15	38.28862083	14.41996559	18	24	60.06210273	0.887499993	53.28519091	2.447941211
15	40.65250621	14.41996559	18	24	62.95310585	0.897499996	56.03069289	2.544941975
15	43.2	14.41996559	17.96668397	24	67.16995753	0.9075	60.2337028	2.554169817
15	43.2	14.41996559	18	26.60130957	67.73543878	0.917499999	60.74506397	2.590249876
15	43.2	14.41996559	18	29.1938418	68.14268287	0.927500007	61.09965115	2.625354484
15	43.2	14.41996559	18	31.77759125	68.55122678	0.9375	61.46157824	2.656432359
15	43.2	14.41996559	18	34.35503529	68.99915319	0.947499999	61.87042349	2.682486464
16	28.8	11.75014098	12.18978262	24	38.48039138	0.817500328	32.78481621	1.727050113
16	28.8	14.41996559	13.36714792	24	41.71738648	0.827500671	35.88920044	1.815457364
16	31.99256122	14.41996559	12.55818331	24	44.03026528	0.837499995	38.09584742	1.886278578
16	34.11318155	14.41996559	12.82123182	24	46.60462809	0.847500028	40.56050321	1.959416587
16	31.96900916	14.41996559	17.31208641	24	50.95054808	0.85750055	44.7012195	2.096219055
16	34.16703883	14.41996559	17.47821701	24	54.13126669	0.867500011	47.73884279	2.191615929
16	36.30366532	14.41996559	17.67597062	24	57.10807427	0.877500342	50.54509027	2.305322666
16	38.5870646	14.41996559	17.72157306	24	59.78972565	0.887499981	53.05457664	2.420099341
16	43.2	14.41996559	15.65634949	24	61.9400681	0.897500001	55.24546827	2.393066553
16	43.2	14.41996559	17.96668428	24	67.16995829	0.907500001	60.23370348	2.554169872
16	43.2	14.41996559	18	26.60131984	67.73544047	0.917500039	60.74506545	2.590250013
16	43.2	14.41996559	18	28.93534517	68.10291163	0.9265	61.06499484	2.621944528
16	43.2	14.41996559	18	31.77759128	68.55122678	0.9375	61.46157824	2.656432359
16	43.2	14.41996559	18	34.35522205	68.99918733	0.947500726	61.8704549	2.682488289
17	28.8	11.28911714	12.39659238	24	38.26614111	0.817500005	32.59432692	1.711209457
17	31.28899197	10.93700641	12.42948239	24	40.08222798	0.827500139	34.31295566	1.776181547
17	32.00709657	14.41996559	12.54337015	24	44.02940955	0.837500078	38.09507912	1.886220292
17	34.20263439	14.41996559	12.73056065	24	46.57904006	0.847500305	40.53775034	1.957526477
17	36.14762477	14.41996559	13.14209081	24	49.03537732	0.857499999	42.85289894	2.051652249
17	34.27150477	14.41996559	17.3772451	24	54.07345359	0.867499996	47.6872742	2.187452924
17	36.4337904	14.41996559	17.55105213	24	57.00425979	0.877500389	50.45261776	2.297761348
17	38.74977797	14.41996559	17.56689882	24	59.64073157	0.887500697	52.92170951	2.409348042
