"Status Code/Type"	"Row Name"	"Run #"	"Mapped Attributes and Options.Output Constraint Attributes.MeanMass - Lower Bound"	"Mapped Attributes and Options.Output Constraint Attributes.MeanMass - Upper Bound"	A	B	C	D	TargetMass	MeanLoad	MeanMass	"Optimization1 Results.Constraint Values at Optimum.MeanMass (Lower Bound Constraint)"	"Optimization1 Results.Constraint Values at Optimum.MeanMass (Upper Bound Constraint)"	"Optimization1 Results.Optimal Design.A"	"Optimization1 Results.Optimal Design.B"	"Optimization1 Results.Optimal Design.C"	"Optimization1 Results.Optimal Design.D"	"Optimization1 Results.Optimal Design.MeanLoad"	"Optimization1 Results.Optimal Design.MeanMass"	"Optimization1 Results.Optimal Design.Objective and Penalty"	"Optimization1 Results.Optimal Design.Objective Function"	"Optimization1 Results.Optimal Design.Penalty Function"	"Optimization1 Results.Optimal Design.ReliableLoad"	"Optimization1 Results.Optimal Design.Run #"	"Optimization1 Results.Optimal Design.SDLoad"	ReliableLoad	SDLoad
OK	Task[1].Loop[1]/Subflow[21]	21	0.8365	0.8374999999999999	36	12	15	30	0.837	38.11614028564897	0.8365000002794821	-0.0000000003163351	-0.0011318615965114	28.8	9.6	12	29.871439685590317	38.11614028564897	0.8365000002794821	0.771254187120323	0.771254187120323	0	33.08374762925581	86	1.6774770835061945	33.08374762925581	1.6774770835061945
OK	Task[1].Loop[1]/Subflow[22]	22	0.8375	0.8384999999999999	36	12	15	30	0.838	38.15187560725326	0.8375000000976867	-0.0000000001105678	-0.0011318618022787	28.8	9.6	12	30.118509322299147	38.15187560725326	0.8375000000976867	0.7719649469994302	0.7719649469994302	0	33.12145481251006	86	1.6768197912510816	33.12145481251006	1.6768197912510816
OK	Task[1].Loop[1]/Subflow[23]	23	0.8385	0.8394999999999999	36	12	15	30	0.839	38.18782721231369	0.8384999999876955	0.000000000013927	-0.0011318619267735	28.8	9.6	12	30.365574107331614	38.18782721231369	0.8384999999876955	0.7726797356860106	0.7726797356860106	0	33.15953844225018	86	1.6761091109101347	33.15953844225018	1.6761091109101347
OK	Task[1].Loop[1]/Subflow[24]	24	0.8395	0.8404999999999999	36	12	15	30	0.84	38.22403195672388	0.8394999999498933	0.0000000000567139	-0.0011318619695604	28.8	9.6	12	30.6126389210426	38.22403195672388	0.8394999999498933	0.7733992812314062	0.7733992812314062	0	33.19804012106383	86	1.6753434602394979	33.19804012106383	1.6753434602394979
OK	Task[1].Loop[1]/Subflow[25]	25	0.8405	0.8414999999999999	36	12	15	30	0.841	38.26052311998033	0.8404999999797149	0.0000000000229599	-0.0011318619358064	28.8	9.6	12	30.859705685987784	38.26052311998033	0.8404999999797149	0.7741242438583512	0.7741242438583512	0	33.23699588349572	86	1.6745219208828912	33.23699588349572	1.6745219208828912
OK	Task[1].Loop[1]/Subflow[26]	26	0.8415	0.8424999999999999	36	12	15	30	0.842	38.297330391634375	0.8415000000669652	-0.0000000000757954	-0.0011318618370511	28.8	9.6	12	31.106773366875338	38.297330391634375	0.8415000000669652	0.774855215708041	0.774855215708041	0	33.27643617277316	86	1.673644241613478	33.27643617277316	1.673644241613478
OK	Task[1].Loop[1]/Subflow[27]	27	0.8425	0.8434999999999999	36	12	15	30	0.843	38.334479879473854	0.8425000009322071	-0.0000000010551297	-0.0011318608577168	28.8	9.6	12	31.35383815243394	38.334479879473854	0.8425000009322071	0.7755927210183889	0.7755927210183889	0	33.31638584100438	86	1.6727108409937328	33.31638584100438	1.6727108409937328
OK	Task[1].Loop[1]/Subflow[28]	28	0.8435	0.8444999999999999	36	12	15	30	0.844	38.372007237961405	0.8435003528218616	-0.0000003993456272	-0.0011314625672193	28.8	9.6	12	31.600979624942088	38.372007237961405	0.8435003528218616	0.776337476638132	0.776337476638132	0	33.35687833044619	86	1.6717224564323576	33.35687833044619	1.6717224564323576
OK	Task[1].Loop[1]/Subflow[29]	29	0.8445	0.8454999999999999	36	12	15	30	0.845	38.409891596604595	0.8445000038232444	-0.0000000043273847	-0.0011318575854618	28.8	9.6	12	31.84792801594577	38.409891596604595	0.8445000038232444	0.7770890810145737	0.7770890810145737	0	33.39788425996762	86	1.6706819248297284	33.39788425996762	1.6706819248297284
OK	Task[1].Loop[1]/Subflow[30]	30	0.8455	0.8464999999999999	36	12	15	30	0.846	38.44818749710571	0.8455000000816375	-0.0000000000924023	-0.0011318618204442	28.8	9.6	12	32.09492892967592	38.44818749710571	0.8455000000816375	0.7778486321628659	0.7778486321628659	0	33.43945401062638	86	1.669590633078836	33.43945401062638	1.669590633078836
OK	Task[1].Loop[1]/Subflow[31]	31	0.8465	0.8474999999999999	36	12	15	30	0.847	38.4868934545528	0.8465000000167611	-0.0000000000189712	-0.0011318618938753	28.8	9.6	12	32.341882203188014	38.4868934545528	0.8465000000167611	0.7786161195889617	0.7786161195889617	0	33.48157567654751	86	1.6684520548603121	33.48157567654751	1.6684520548603121
OK	Task[1].Loop[1]/Subflow[32]	32	0.8475	0.8484999999999999	36	12	15	30	0.848	38.52601884142053	0.8475000472862197	-0.0000000535214711	-0.0011318083913754	28.8	9.6	12	32.58877991963091	38.52601884142053	0.8475000472862197	0.7793917513994364	0.7793917513994364	0	33.524247368308195	71	1.6672699441693144	33.524247368308195	1.6672699441693144
OK	Task[1].Loop[1]/Subflow[33]	33	0.8485	0.8494999999999999	36	12	15	30	0.849	38.56556278444157	0.8485000205599316	-0.0000000232710034	-0.0011318386418431	28.8	9.6	12	32.83557054243465	38.56556278444157	0.8485000205599316	0.7801755357143765	0.7801755357143765	0	33.5674543236686	71	1.6660489306984463	33.5674543236686	1.6660489306984463
OK	Task[1].Loop[1]/Subflow[34]	34	0.8495	0.8504999999999999	36	12	15	30	0.85	38.60552852003848	0.8494999998935778	0.0000000001204552	-0.0011318620333017	28.8	9.6	12	33.08224939553904	38.60552852003848	0.8494999998935778	0.7809675652136694	0.7809675652136694	0	33.61118458563405	71	1.6647940789596873	33.61118458563405	1.6647940789596873
OK	Task[1].Loop[1]/Subflow[35]	35	0.8505	0.8514999999999999	36	12	15	30	0.851	38.645913078304105	0.8505000024119695	-0.0000000027300164	-0.0011318591828301	28.8	9.6	12	33.328793438505585	38.645913078304105	0.8505000024119695	0.781767812588703	0.781767812588703	0	33.655417773574825	71	1.6635111925714092	33.655417773574825	1.6635111925714092
OK	Task[1].Loop[1]/Subflow[36]	36	0.8515	0.8524999999999999	36	12	15	30	0.852	38.6867217434806	0.8515003382924722	-0.0000003829003646	-0.0011314790124819	28.8	9.6	12	33.575249025126986	38.6867217434806	0.8515003382924722	0.7825764170565189	0.7825764170565189	0	33.70014093809377	71	1.6622063494598258	33.70014093809377	1.6622063494598258
OK	Task[1].Loop[1]/Subflow[37]	37	0.8525	0.8534999999999999	36	12	15	30	0.853	38.72792573000259	0.8525005741449876	-0.0000006498528439	-0.0011312120600026	28.8	9.6	12	33.821476571148075	38.72792573000259	0.8525005741449876	0.7833928456957926	0.7833928456957926	0	33.74530219609761	71	1.6608872488611208	33.74530219609761	1.6608872488611208
OK	Task[1].Loop[1]/Subflow[38]	38	0.8535	0.8544999999999999	36	12	15	30	0.854	38.76948023771967	0.8534999995505835	0.0000000005086774	-0.0011318624215239	28.8	9.6	12	34.06726614687305	38.76948023771967	0.8534999995505835	0.7842162510909217	0.7842162510909217	0	33.790830578545126	76	1.6595626138049013	33.790830578545126	1.6595626138049013
OK	Task[1].Loop[1]/Subflow[39]	39	0.8545	0.8554999999999999	36	12	15	30	0.855	38.811423951380995	0.8544999984564375	0.0000000017470996	-0.0011318636599461	28.8	9.6	12	34.31292032157287	38.811423951380995	0.8544999984564375	0.7850474428181106	0.7850474428181106	0	33.836745101030616	76	1.6582390007271712	33.836745101030616	1.6582390007271712
OK	Task[1].Loop[1]/Subflow[40]	40	0.8555	0.8564999999999999	36	12	15	30	0.856	38.85372054848587	0.8555002287711416	-0.0000002589373419	-0.0011316029755046	28.8	9.6	12	34.558314395772626	38.85372054848587	0.8555002287711416	0.7858857469485105	0.7858857469485105	0	33.88298109548846	76	1.6569258582219746	33.88298109548846	1.6569258582219746
OK	Task[1].Loop[1]/Subflow[41]	41	0.8565	0.8574999999999999	36	12	15	30	0.857	38.89631469275712	0.8565000000858941	-0.0000000000972202	-0.0011318618156263	28.8	9.6	12	34.80323646581803	38.89631469275712	0.8565000000858941	0.7867301150831284	0.7867301150831284	0	33.92945181876014	81	1.6556336553296926	33.92945181876014	1.6556336553296926
OK	Task[1].Loop[1]/Subflow[42]	42	0.8575	0.8584999999999999	36	12	15	30	0.858	38.939205890719904	0.8574999974824299	0.0000000028495418	-0.0011318647623883	28.8	9.6	12	35.047809665132334	38.939205890719904	0.8574999974824299	0.7875805883253939	0.7875805883253939	0	33.976129100911734	82	1.6543716176083265	33.976129100911734	1.6543716176083265
OK	Task[1].Loop[1]/Subflow[43]	43	0.8585	0.8594999999999999	36	12	15	30	0.859	38.98235166501957	0.8584999981756278	0.0000000020649374	-0.0011318639777839	28.8	9.6	12	35.29193249729198	38.98235166501957	0.8584999981756278	0.7884363778960494	0.7884363778960494	0	34.02293767047574	82	1.6531506765123964	34.02293767047574	1.6531506765123964
OK	Task[1].Loop[1]/Subflow[44]	44	0.8595	0.8604999999999999	36	12	15	30	0.86	39.025715539029335	0.8594999994799358	0.0000000005886409	-0.0011318625014874	28.8	9.6	12	35.535555541256684	39.025715539029335	0.8594999994799358	0.7892968160886028	0.7892968160886028	0	34.069807653353735	82	1.6519819646177805	34.069807653353735	1.6519819646177805
OK	Task[1].Loop[1]/Subflow[45]	45	0.8605	0.8614999999999999	36	12	15	30	0.861	39.06925800123961	0.860500002800878	-0.0000000031702071	-0.0011318587426394	28.8	9.6	12	35.77862865504705	39.06925800123961	0.860500002800878	0.7901611769973992	0.7901611769973992	0	34.11666479839492	82	1.6508770618943807	34.11666479839492	1.6508770618943807
OK	Task[1].Loop[1]/Subflow[46]	46	0.8615	0.8624999999999999	36	12	15	30	0.862	39.11403550965619	0.861500010370693	-0.0000000117381924	-0.0011318501746541	28.8	9.6	12.022420846027371	36	39.11403550965619	0.861500010370693	0.7910455136671751	0.7910455136671751	0	34.167316886596254	82	1.6489188536410566	34.167316886596254	1.6489188536410566
